id,utterance_num,label,label_num
meld_0_0,0,surprised,5
meld_0_1,1,angry,0
meld_0_2,2,neutral,3
meld_1_0,0,neutral,3
meld_1_1,1,happy,1
meld_1_2,2,happy,1
meld_1_3,3,happy,1
meld_1_4,4,happy,1
meld_1_5,5,happy,1
meld_1_6,6,happy,1
meld_1_7,7,happy,1
meld_2_0,0,neutral,3
meld_2_1,1,neutral,3
meld_2_2,2,sad,2
meld_2_3,3,surprised,5
meld_2_4,4,angry,0
meld_2_5,5,angry,0
meld_2_6,6,angry,0
meld_2_7,7,happy,1
meld_2_8,8,happy,1
meld_2_9,9,neutral,3
meld_2_10,10,neutral,3
meld_3_0,0,neutral,3
meld_3_1,1,fearful,4
meld_3_2,2,neutral,3
meld_3_3,3,neutral,3
meld_3_4,4,angry,0
meld_3_5,5,angry,0
meld_3_6,6,neutral,3
meld_4_0,0,surprised,5
meld_4_1,1,neutral,3
meld_4_2,2,surprised,5
meld_4_3,3,surprised,5
meld_4_4,4,neutral,3
meld_4_5,5,fearful,4
meld_4_6,6,angry,0
meld_4_7,7,angry,0
meld_4_8,8,neutral,3
meld_5_0,0,angry,0
meld_5_1,1,neutral,3
meld_5_2,2,neutral,3
meld_5_3,3,neutral,3
meld_5_4,4,neutral,3
meld_5_5,5,neutral,3
meld_5_6,6,neutral,3
meld_5_7,7,neutral,3
meld_5_8,8,neutral,3
meld_6_0,0,neutral,3
meld_6_1,1,neutral,3
meld_6_2,2,surprised,5
meld_7_0,0,neutral,3
meld_7_1,1,neutral,3
meld_7_2,2,neutral,3
meld_7_3,3,neutral,3
meld_7_4,4,surprised,5
meld_7_5,5,neutral,3
meld_7_6,6,surprised,5
meld_7_7,7,neutral,3
meld_7_8,8,neutral,3
meld_8_0,0,sad,2
meld_8_1,1,happy,1
meld_8_2,2,neutral,3
meld_8_3,3,surprised,5
meld_8_4,4,neutral,3
meld_8_5,5,neutral,3
meld_8_6,6,happy,1
meld_9_0,0,fearful,4
meld_9_1,1,neutral,3
meld_9_2,2,sad,2
meld_9_3,3,surprised,5
meld_9_4,4,surprised,5
meld_9_5,5,neutral,3
meld_9_6,6,surprised,5
meld_9_7,7,angry,0
meld_9_8,8,sad,2
meld_9_9,9,sad,2
meld_9_10,10,neutral,3
meld_9_11,11,sad,2
meld_9_12,12,neutral,3
meld_9_13,13,angry,0
meld_9_14,14,neutral,3
meld_9_15,15,happy,1
meld_9_16,16,neutral,3
meld_9_17,17,neutral,3
meld_10_0,0,angry,0
meld_10_1,1,neutral,3
meld_10_2,2,neutral,3
meld_10_3,3,neutral,3
meld_11_0,0,sad,2
meld_11_1,1,fearful,4
meld_11_2,2,neutral,3
meld_11_3,3,neutral,3
meld_11_4,4,neutral,3
meld_12_0,0,angry,0
meld_12_1,1,neutral,3
meld_12_2,2,sad,2
meld_12_3,3,angry,0
meld_12_4,4,angry,0
meld_12_5,5,angry,0
meld_12_6,6,sad,2
meld_12_7,7,sad,2
meld_12_8,8,happy,1
meld_12_9,9,neutral,3
meld_12_10,10,neutral,3
meld_12_11,11,happy,1
meld_12_12,12,happy,1
meld_12_13,13,neutral,3
meld_12_14,14,neutral,3
meld_12_15,15,neutral,3
meld_12_16,16,neutral,3
meld_12_17,17,neutral,3
meld_12_18,18,neutral,3
meld_12_19,19,happy,1
meld_13_0,0,neutral,3
meld_13_1,1,neutral,3
meld_13_2,2,neutral,3
meld_13_3,3,surprised,5
meld_13_4,4,neutral,3
meld_13_5,5,angry,0
meld_13_6,6,angry,0
meld_13_7,7,angry,0
meld_14_0,0,surprised,5
meld_14_1,1,happy,1
meld_14_2,2,happy,1
meld_14_3,3,happy,1
meld_14_4,4,neutral,3
meld_14_5,5,neutral,3
meld_14_6,6,happy,1
meld_14_7,7,happy,1
meld_14_8,8,neutral,3
meld_14_9,9,happy,1
meld_14_10,10,neutral,3
meld_15_0,0,happy,1
meld_15_1,1,happy,1
meld_15_2,2,happy,1
meld_15_3,3,neutral,3
meld_15_4,4,neutral,3
meld_15_5,5,angry,0
meld_16_0,0,neutral,3
meld_16_1,1,neutral,3
meld_16_2,2,neutral,3
meld_16_3,3,neutral,3
meld_16_4,4,surprised,5
meld_16_5,5,neutral,3
meld_16_6,6,neutral,3
meld_16_7,7,neutral,3
meld_16_8,8,neutral,3
meld_16_9,9,angry,0
meld_17_0,0,neutral,3
