id,utterance
Ses04F_impro01_F000,"Hi.  Um, excuse me I've been to, like, five of the desks here and nobody seems to be able to tell me what it is I need to do.  I've been here for over an hour.  Can you possibly help me?"
Ses04F_impro01_M000,"Uh, lets- What do you need exactly?"
Ses04F_impro01_F001,Well I filled out all the forms and I've given them to everyone and they keep sending me to someone else.
Ses04F_impro01_M001,"You need a new license, is that what you're telling me?"
Ses04F_impro01_F002,Yes.  I'm just trying to get a new license.
Ses04F_impro01_M002,Let me see the form. Just let me see the form. Yeah.  You filled this out wrong.  I can't - I can't - I can't do anything with this.
Ses04F_impro01_F003,Okay.  I did-
Ses04F_impro01_M003,Ma'am I cannot help you.  You need to fill out a new form and you need to get in the back of the line.
Ses04F_impro01_F004,I did exactly what they told me to do.
Ses04F_impro01_F005,I have done everything everyone in this entire place has told me to do.  I've been here for over an hour.  They make me wait in line.  Every single time I start over again.
Ses04F_impro01_M004,Ma'am I can't help you.  Do you understand?
Ses04F_impro01_F006,I have a life.  I have things to do.  I have places to go.  Can you not just put this through please?
Ses04F_impro01_M005,I've got a life too ma'am
Ses04F_impro01_M006,and I got to - i got to work here all day long.  Okay.  I've got to deal with you people all day.
Ses04F_impro01_M007,So what I need you to do is I need you to fill out this form correctly and go to the back of the line.
Ses04F_impro01_F007,"Okay, that's nice. That's nice but I have done everything you people have told me to do. I don't understand why you can't just help me get this done.  It's simple, right?  License.  I need it. Can we just do this please?"
Ses04F_impro01_M008,There's nothing I can do for you.  Do you understand that?  Nothing.
Ses04F_impro01_M009,"What I need you to do is go to the back of the line,"
Ses04F_impro01_F008,I've been to the back of the line five times.
Ses04F_impro01_M010,fill out this form and wait
Ses04F_impro01_M011,You're going to have to go back again.
Ses04F_impro01_F009,Okay.  What is it that I did wrong on the form that I have to start all over again?
Ses04F_impro01_M012,This whole area here you didn't initial
Ses04F_impro01_M013,and you filled out-
Ses04F_impro01_F010,"Okay.  Well, I can do that right here right now without going to the back of the line again.  See look initialed.  All done. Ready to go."
Ses04F_impro01_M014,Ma'am I have other people waiting in line right now.  I have other people waiting in line right now.
Ses04F_impro01_F011,I have been waiting for over an hour.
Ses04F_impro01_M015,This whole area of the form was not supposed to be filled out and you put the address in the wrong place
Ses04F_impro01_M016,"Uhh, and you spelled your own name wrong.  So I need you to take that"
Ses04F_impro01_F012,I'm not starting over again.  No I have done this five times.  I am not starting over again.
Ses04F_impro01_M017,"and, uh, throw it away. I need you to fill out a new form."
Ses04F_impro01_M018,Ma'am you're going to have- you- look. You really- you really
Ses04F_impro01_F013,Look can you not just help me?
Ses04F_impro01_M019,I can't help you right now.  Do you understand that?
Ses04F_impro01_F014,I mean look she's -she's perfectly nice.  She doesn't mind waiting for a couple of minutes because I've been here all day. I have a job to get back to.  I have kids to pick up from school.  I can't just stay here.
Ses04F_impro01_M020,Look I'm going on my lunch break right now.  So you're just going to have to take this form and go to the back of the line.
Ses04F_impro01_F015,No.  No.  No. No. You have to help me.
Ses04F_impro01_M021,like I said before right now.
Ses04F_impro01_F016,This is your job is to help people like me who need to get a new license.
Ses04F_impro01_F017,That's like the whole purpose of you being here.
Ses04F_impro01_M022,Ma'am you are testing my patience.  Do you understand me?
Ses04F_impro01_F018,I- I- I'm testing your patience?
Ses04F_impro01_M023,You're testing my goddamn patience.
Ses04F_impro01_F019,I'm testing your patience?
Ses04F_impro01_M024,"I work in this fucking building all day. And I'm sick of it, okay?"
